name,gender
anel,F
anela,F
anele,F
anelia,F
anelija,F
anelise,F
aneliya,F
anelma,F
anemarie,F
anemona,F
anemone,F
aner,M
anes,M
anesti,M
anestis,M
anet,F
aneta,F
anete,F
anett,F
anetta,F
anette,F
aneurin,M
anezka,F
anfisa,F
anfried,M
anfriede,F
ang,?
angantyr,M
ange,M
angelia,F
angelichi,M
angelie,F
angelien,F
angeliene,F
angeliina,F
angelija,F
angelika,F
angeliki,F
angelin,M
angelino,M
angelita,F
angelka,F
angelle,F
angelos,M
angels,F
angely,F
angelyn,F
angervo,F
angham,F
angharad,F
anghard,F
anghel,M
anghelache,M
anghelina,F
angheluta,F
angi,F
angie,F
angiola,F
angiolina,F
angiolino,M
angiolo,M
angjelin,M
angjelina,F
anglu,M
angonita,F
angret,F
angyalka,F
anh,F
ani,F
ania,F
anica,F
anice,F
anicet,M
aniceta,F
anicetas,M
anicette,F
anick,M
anicuta,F
aniek,F
aniela,F
aniella,F
aniello,M
anif,M
anife,F
anika,F
aniko,F
anila,F
anina,F
aninda,F
anindo,M
anine,F
anique,F
anis,M
anisa,F
anisca,F
anisia,F
anisoara,F
anisor,M
anissa,F
anitha,F
anito,M
anitra,F
anitta,F
aniya,F
aniyah,F
anja,F
anjali,F
anjan,?
anjana,F
anjanette,F
anjani,F
anje,F
anjela,F
anjelien,F
anjeza,F
anju,F
anjum,F
anjuta,F
ank,F
anka,F
anker,M
ankeus,M
anki,F
ankica,F
ankie,F
ankit,M
ankje,F
anko,M
anky,F
anlaug,F
ann,F
anna,F
annabel,F
annabell,F
annabella,F
annabelle,F
annabeth,F
annachiara,F
annaelle,F
annagret,F
annagreth,F
annaig,F
annakatrin,F
annalee,F
annaleena,F
annalena,F
annalene,F
annalies,F
annaliese,F
annaliisa,F
annalis,F
annalisa,F
annalise,F
annamae,F
annamaija,F
annamari,F
annamarie,F
annamarja,F
annariitta,F
annarita,F
annaros,F
annarosa,F
annatina,F
annaus,M
annebarbel,F
annebeth,F
annechien,F
anneclaar,F
annedore,F
annedoris,F
annedorle,F
annedorte,F
annegie,F
annegien,F
annegold,F
annegreet,F
annegret,F
annegrete,F
annegreth,F
annegrethe,F
annegriet,F
anneheide,F
annehild,F
annehilde,F
annejet,F
annekathe,F
annekathrin,F
annekatrin,F
anneke,F
annekee,F
annekristin,F
annel,M
annela,F
annele,F
annelee,F
anneleen,F
annelen,F
annelene,F
anneli,F
annelie,F
annelieke,F
annelien,F
annelies,F
annelijn,F
annelinde,F
annelis,F
annelise,F
anneloes,F
annelore,F
annelotte,F
annelouise,F
anneluise,F
annely,F
annelyse,F
annemargret,F
annemari,F
annemaria,F
annemarie,F
annemarieke,F
annemarije,F
annemarijn,F
annemette,F
annemie,F
annemiek,F
annemieke,F
annemien,F
annemijn,F
annemirl,F
annemone,F
annerie,F
annerieke,F
anneriet,F
annerike,F
annerose,F
anneruth,F
annest,F
annet,F
annetraud,F
annetraude,F
annetrud,F
annetrude,F
annett,F
annetta,F
annette,F
annetto,M
anneus,M
annewil,?
anney,F
anni,F
annibale,M
annica,F
annick,F
annie,F
anniek,F
annig,F
annigje,F
anniina,F
annija,F
annik,M
annika,F
annikka,F
annikki,F
annina,F
annine,F
annino,M
annique,F
annita,F
annito,M
annja,F
annkathrin,F
annkatrin,F
annliese,F
annmari,F
annmarie,F
anno,M
annoeska,F
annonciade,F
annot,F
annu,F
annukka,F
annunciata,F
annunciato,M
annunzia,F
annunziata,F
annunziatina,F
annunziato,M
annunzio,M
annunzjato,M
annushka,F
annuska,F
annwyl,F
ano,M
anoek,F
anoeska,F
anona,F
anostol,M
